portuguese,english
stand up please,fique de pe por favor
tom always makes me wait,tom sempre me faz esperar
if i had known i would not have come,se eu soubesse nao tinha vindo
the bus arrived ten minutes behind time,o onibus chegou dez minutos atrasado
how can i solve this problem,como posso resolver este problema
tom won the triathlon,tom venceu o triatlo
i dont want you to do that,eu nao quero que voce faca isso
where was the body found,onde o corpo foi encontrado
they trapped the fox,eles capturaram a raposa
you never put things back where they belong,voce nunca poe as coisas de volta onde elas pertencem
tom ate my bacon lettuce and tomato sandwich,tom comeu meu sanduiche de bacon alface e tomate
i think tom has made a mistake,acho que tom cometeu um erro
i need the keys,preciso das chaves
tom ended up not getting paid at all,o tom acabou nao sendo pago
have you filled out the forms yet,voce ja preencheu os formularios
im free,eu sou livre
if not now when,se nao for agora quando sera
ill study french this evening,vou estudar frances essa noite
im grateful to you,sou grata a voces
some people seemed to think the good times were going to last forever,algumas pessoas pareciam pensar que os bons tempos durariam para sempre
tom was bitten by a rabid dog,tom foi mordido por um cachorro com raiva
tom can do that for you i think,o tom pode fazer isso por voce eu acho
bring me a cup of coffee will you,tragame uma xicara de cafe voce traz
tom fell off his mothers lap,tom caiu do colo de sua mae
take a look,olha
we wont be able to evade punishment this time,nao vamos conseguir fugir do castigo desta vez
what happened to that guy you were seeing,o que aocnteceu com aquele cara que voce estava vendo
theres no need to cry like a baby,nao precisa chorar como um bebe
he sat down to read a novel,sentouse para ler um romance
i hope tom didnt get tired,eu espero que o tom nao tenha ficado cansado
tom said he didnt know what was wrong,tom disse que nao sabia que estava errado
the milk is sour,o leite esta azedo
be fair,se justa
there is no sugar in the bowl,nao ha acucar no acucareiro
my aunt gave me a camera,a minha tia me deu uma camara
i am looking for my friends,estou procurando meus amigos
im only thirty years old,eu so tenho trinta anos de idade
you must do it much more carefully,voce deve fazelo com muito mais cuidado
i would never have guessed that,eu nunca teria adivinhado isso
i lit my last match hoping that i could find the door,eu acendi meu ultimo fosforo esperando que pudesse encontrar a porta
tom is singing in the shower,tom esta cantando no chuveiro
tom is helping me right now,tom esta me ajudando neste exato instante
the police were at toms door within three minutes after the phone call,a policia estava na porta da casa de tom menos de tres minutos depois do telefonema
i must have made a mistake,devo ter cometido um erro
tom has a daughter,tom tem uma filha
well never forget your kindness,nunca esqueceremos sua gentileza
where are your things,onde estao suas coisas
answer me,respondamme
tom has a son who is a construction worker,tom tem um filho que e pedreiro
tom never goes anywhere without his dog,tom nunca vai a lugar nenhum sem seu cachorro
tom wants to see a doctor as soon as possible,tom quer ver um medico assim que possivel
thats toms family,e a familia de tom
i think tom didnt understand you,eu acho que o tom nao te entendeu
please come to see me from time to time,por favor venha me ver de vez em quando
tom wanted my permission,tom queria a minha permissao
what is tom eating,o que tom esta comendo
i dont want to hurt you,nao e meu intuito prejudicar voces
i have to meet tom,eu tenho que encontrar o tom
do you know why the sky is blue,voce sabe por que o ceu e azul
im at the gym,estou na academia
look at the map on page 25,olhe o mapa na pag 25
the trouble is that he thinks only of himself,o problema e que ele pensa apenas em si mesmo
this is toms appointment book,esta e a agenda de tom
i dont know what part of australia tom is from,eu nao sei de qual parte da australia o tom e
tom told us about what he did in boston,tom nos contou sobre o que ele fez em boston
i asked her if she knew his address,eu perguntei a ela se ela sabia seu endereco
i was just as surprised as tom,eu fiquei tao surpreso quanto o tom
sensing danger he ran away,sentindo o perigo ele foi embora
tom never uses paper towels,o tom nunca usa toalhas de papel
come get some,venha pegar alguns
i wonder if tom is stoned,me pergunto se tom esta drogado
have you found your ticket yet,voce ja encontrou o seu ingresso
i dont mind telling you what happened,eu nao me importo de te contar o que aconteceu
the frogs croaking helped me fall asleep,o coaxo dos sapos me ajudou a adormecer
beautiful night isnt it,linda noite nao
i promise you i wont do anything to harm you,eu lhe prometo que nao farei nada para lhe machucar
youre doing fine,voce esta indo bem
i just want out of here,so quero sair daqui
i have to pick up my son at 230,tenho de ir buscar meu filho as 1430
i would like to give you a bicycle as a present for your birthday,gostaria de te dar uma bicicleta como presente de aniversario
it will burn,isso vai queimar
tom is sitting at the table over there,tom esta sentado naquela mesa la
tom has never had a heart attack,tom nunca teve um ataque de coracao
no one cares about that anymore,ninguem se importa mais com isso
tom makes very few mistakes,tom comete pouquissimos erros
caffeine is a drug,a cafeina e uma droga
i did it while i was drunk,fiz isso enquanto eu estava bebado
i have a lot of ambition,eu tenho muita ambicao
the sky became darker and darker,o ceu ficou cada vez mais escuro
when are you getting married,quando voce vai se casar
tom is a computer engineer,tom e engenheiro de computacao
im sure tom will complain,tenho certeza de que o tom vai reclamar
thank you very much for your letter,muito obrigado pela tua carta
i arrived safely,eu cheguei em seguranca
this is the house where he was born,esta e a casa onde ele nasceu
tom threw the ball to me,tom jogou a bola para mim
tom needed to be transferred to another hospital,o tom precisou ser transferido para um outro hospital
i wonder if you could get me another beer,sera que voce pode me trazer outra cerveja
be tolerant,seja tolerante
tom must be exhausted,tom deve estar exausto
i love your eyes,amo teus olhos
i hope tom didnt get bored,espero que tom nao tenha se entediado
this is my fathers,este e do meu pai
this camera is the one that tom bought last thursday,esta camera e a que o tom comprou na ultima quinta
tom said he was single,o tom disse que ele era solteiro
tom ripped up the letter,o tom rasgou a carta
i bought a smartphone for my wife,comprei um smartphone para minha esposa
do your children know french,os seus filhos falam frances
you made things worse,voce piorou as coisas
i wont be able to help you tomorrow,eu nao vou poder te ajudar amanha
i was threatened,eu fui ameacado
can you swim,sabes nadar
tom didnt come because he got sick,o tom nao veio porque ficou doente
tom doesnt give up,tom nao desiste
these cameras are made in japan,estas cameras sao feitas no japao
i have nothing else to wear,eu nao tenho mais nada para vestir
im not going to betray you,eu nao vou te trair
it worked out ok for tom,deu certo para o tom
im not good at anything,nao sou bom em nada
are you sad,voce esta triste
im going to the movies,vou ir ao cinema
why was this a secret,por que isto era um segredo
am i on the right track,eu estou no caminho certo
dont talk to me like im a child,nao fale comigo como se eu fosse uma crianca
tom has a good friend in boston,tom tem um bom amigo em boston
she spends most of her money on clothes,ela gasta a maior parte do seu dinheiro em roupas
youre mocking me arent you,voces estao me gozando ne
the invention of tv caused a drastic change in our daily life,a invencao da tv causou uma drastica mudanca na nossa rotina
did you really think i was the one who painted this picture,voce realmente achou que tinha sido eu quem tinha pintado esse quadro
have you found a cure,encontraste uma cura
he tried to kill himself,ele tentou suicidarse
tom and mary speak to each other in french,o tom e a mary conversam em frances
i stopped by the supermarket on my way home,eu passei no supermercado no caminho de casa
ill teach tom,eu vou ensinar o tom
i could agree with you but then wed both be wrong,eu ate concordaria com voce mas entao poderiamos estar ambos errados
the atomic number for iron is 26,o numero atomico do ferro e 26
he didnt attend the meeting,ele nao assistiu a reuniao
boil the water,ferva a agua
he cannot have said that,ele nao pode ter dito isso
i must speak to you later about turkey,eu devo falar com voce mais tarde sobre a turquia
theres no one in the classroom,nao ha ninguem na sala de aula
stop worrying,parem de se preocupar
ill drive,dirigirei
where is my beer,onde esta a minha cerveja
the antismoking law is just in my opinion,a lei antifumo e justa em minha opiniao
thanks for that,obrigada por isso
are you already drunk,ja estas bebado
tom just woke up,tom acabou de acordar
i bet youre a great teacher,aposto que e uma otima professora
things did not go as intended,as coisas nao sairam conforme o planejado
tom has a degree in engineering,tom e formado em engenharia
what are you doing next monday,o que voce vai fazer na segundafeira que vem
tom are you awake,tom voce esta acordado
your english has improved considerably,seu ingles melhorou consideravelmente
tom wanted to ask mary something but was afraid to,tom queria perguntar uma coisa para mary mas estava com medo
mary has beautiful long hair,mary tem cabelos bonitos e compridos
what i mean is this,o que eu quero dizer e isso
he had no difficulty in finding the place,ele nao teve dificuldades para encontrar o lugar
she met him only recently,ela o conheceu apenas recentemente
i tend to doubt it,eu tendo a duvidar
he couldnt attend the meeting because he was sick,ele nao pode participar da reuniao porque estava doente
the lion is the king of the beasts,o leao e o rei dos animais
tom doesnt quite know what to do,tom nao sabe direito o que fazer
it rained a lot last summer,choveu muito no ultimo verao
tom seems unreliable,tom nao parece ser de confianca
i think tom is already on the plane,acho que tom ja esta no aviao
do you have some time,voce tem tempo
i built my son a new house,eu construi uma nova casa para meu filho
they tried to handcuff tom,eles tentaram algemar o tom
tom just told me,tom acabou de me contar
im giving my old books away,estou me desfazendo de meus livros velhos
we need your help,precisamos da sua ajuda
if only i knew,oxala eu soubesse
i sure hope this is a dream,eu realmente espero que isso seja um sonho
how was your biology exam,como foi seu exame de biologia
i have to get back to boston,tenho de voltar para boston
i know a lot of french songs,eu conheco muitas musicas francesas
how many times a week do you take a bath,quantas vezes por semana tu te banhas
tom will win im pretty sure,o tom vai ganhar eu tenho certeza
are we in danger,estamos em perigo
he was very excited,ele estava muito empolgado
the night was cold,a noite estava fria
i really dont want to sit in the back of the bus,eu realmente nao quero sentar no fundo do onibus
it would be great if there was a japanese edition,seria otimo se houvesse uma edicao japonesa
everybody likes money,todo mundo gosta de dinheiro
many people like chocolate,muitas pessoas gostam de chocolate
thats my goal,esse e o meu objetivo
how much do you get paid an hour,quanto voces ganham por hora
tom said that he thought that he could lend mary some money,tom disse que achava que poderia emprestar dinheiro para a mary
tom didnt want anyone to help him,tom nao queria que ninguem o ajudasse
i will be free in ten minutes,eu estarei livre em dez minutos
i shouldve not said anything,eu nao deveria ter dito nada
hes already left,ele ja saiu
they lost their property,eles perderam a sua propriedade
suddenly tom began to cry,de repente tom comecou a chorar
maybe i can answer your question,talvez eu possa responder a sua pergunta
you cant have lost your coat in the house,voce nao pode ter perdido o seu paleto na casa
the baby needs a diaper change,a fralda do bebe precisa ser trocada
tom ought to be here,tom deveria estar aqui
i had an interesting conversation with my neighbor,tive uma interessante conversa com meu vizinho
that isnt the way that my grandmother made stuffing,esse nao e o jeito que a minha avo fez recheio
weve tried everything,a gente tentou de tudo
tom is the chairman of the board,o tom e o presidente do conselho
i have a rough idea where it is,tenho uma ligeira ideia de onde esta
tom is putting the children to bed,tom esta colocando as criancas na cama
while traveling in europe i was pickpocketed on a train,enquanto eu viajava pela europa roubaram minha carteira num trem
see you tomorrow at school,ate manha na escola
i get up at six in the morning,levantome as seis da manha
im just resting my eyes,eu so estou descansando os meus olhos
i dont know why tom wanted me here,eu nao sei por que tom queria que eu viesse aqui
i wanted to go swimming with tom,eu queria ir nadar com o tom
i knew i shouldve stayed home,eu sabia que deveria ter ficado em casa
can you tell me how to get to the library,voce pode me explicar como chegar a biblioteca
what a horrible thing,que coisa horrivel
i think tom would be reluctant to do that,acho que o tom ficaria relutante em fazer isso
happy holidays,boas festas
food is cheap in germany,a comida na alemanha e barata
dont ever touch my things again,nunca mais toque nas minhas coisas
this is going to take forever,isto vai levar uma eternidade
i think it might be raining,eu acho que pode estar chovendo
tom took off his tie,tom tirou a gravata
they are arguing,eles estao discutindo
he is very direct about it,ele e muito direto a esse respeito
i hope youll come to my birthday party,ficarei feliz que os senhores venham a minha festa de aniversario
you never can tell what will happen,nunca se pode dizer o que vai acontecer
im going to drive tom home,vou levar o tom para casa
its really easy,e realmente facil
tom threw another log on the fire,tom jogou mais lenha na fogueira
she is writing a letter now,agora ela esta escrevendo uma carta
its a pity that you dont know how to dance,e uma pena o senhor nao saber dancar
the pain was mainly in my lower back,a dor estava principalmente na parte inferior das costas
were trying to cut down expenses,nos estamos tentando diminuir os gastos
it was not my mistake,nao foi erro meu
i dont want you to yell at tom again,eu nao quero que voce grite com tom novamente
hes got a thick beard,ele tem uma barba espessa
im not your teacher,eu nao sou o seu professor
if you really want a challenge you should try windsurfing,se estiver realmente afim de um desafio deveria tentar fazer windsurf
tom wants to learn to sing in french,tom quer aprender a cantar em frances
the meat is frozen,a carne esta congelada
tom has finished,tom terminou
do you want me to open the box,voce quer que eu abra a caixa
i dont put syrup on my pancakes,eu nao coloco xarope nas minhas panquecas doces
tom is getting worried,tom esta ficando preocupado
yeah thats what i said,sim foi isso o que eu disse
tom has already eaten supper,tom ja jantou
he got dressed and went outside,ele se vestiu e saiu
none of this matters,nada disto importa
i couldnt help but smile,eu nao pude deixar de sorrir
i have to go out,eu tenho que ir
it was a huge success,foi um sucesso tremendo
tom wants to go to the beach with us,tom quer ir a praia com a gente
you amuse me,voce me diverte
how would you like to go to australia with us next summer,que achais vos de irdes conosco para a australia no proximo verao
hows your mother,como vai a sua mae
large houses are expensive to live in,viver em casas grandes e custoso
its better to be an optimist and be wrong than to be a pessimist and be right,e melhor sermos otimistas e estarmos errados do que ser pessimistas e estarmos certos
what did you find out,o que voce descobriu
this is a picture of my mother,esta e uma foto da minha mae
teaching young children isnt easy,ensinar criancas pequenas nao e facil
the words were from a very old language,as palavras eram de um idioma muito antigo
the prices here are very reasonable,os precos aqui sao bastante razoaveis
tom doesnt know that im alive,tom nao sabe que estou vivo
are you having trouble sleeping,voce esta tendo problemas para dormir
you arent permitted to bring dogs into this building,voce nao tem permissao de trazer caes para dentro desse predio
where did you find this,onde voce achou isto
i think i could do a better job,acho que eu poderia ter feito um trabalho melhor
he died of cancer last year,morreu de cancro ano passado
i dont like traveling by train,eu nao gosto de viajar de trem
did you practice the piano this morning,o senhor praticou ao piano esta manha
tom told mary she was wrong,tom disse a maria que ela estava errada
tom was a little tipsy,o tom estava um pouco embriagado
youre going to have to stop doing that,voces vao ter que parar de fazer isso
please tell tom to hurry up,por favor diga a tom para se apressar
i dont think theyre capable of doing that,nao acho que sejam capazes de fazer isso
actually ive never seen one,na verdade eu nunca vi um
im disappointed in you,estou desapontado com voce
time travel is impossible,viajar no tempo e impossivel
tom would like to come with us,tom gostaria de vir conosco
tom and i are both a little busy,tom e eu estamos um pouco ocupados
dont eat before going to bed,nao coma antes de ir para a cama
i called tom from the police station,eu liguei para o tom da delegacia
i bought a oneway ticket to boston,eu comprei um bilhete so de ida para boston
i went on with my reading,continuei lendo
is everything ok between us,esta tudo bem entre a gente
in our culture you cannot be married to two women at the same time,na nossa cultura nao podemos nos casar com duas mulheres de uma vez
toms parents fight all the time,os pais de tom brigam o tempo todo
i think i inspired tom,eu acho que eu inspirei o tom
they need to study,eles precisam estudar
i havent talked to tom since he got back from australia,eu nao falei com tom desde que ele voltou da australia
i think youre exaggerating,acho que voce esta exagerando
i want to leave as soon as i can,eu quero ir embora o quanto antes
we saw tom last night,nos vimos o tom ontem a noite
can we close the door,nos podemos fechar a porta
tom began to speak,o tom comecou a falar
he is something of a celebrity,ele tem um jeito de celebridade
howd you meet tom,como voces conheceram o tom
ive already forgotten why you said we were supposed to do this,eu ja me esqueci por que voce disse que nos deveriamos fazer isso
why doesnt tom eat pork,por que tom nao come carne de porco
im giving my old books away,eu estou dando meus livros velhos
a deer jumped out in front of toms car,um cervo pulou na frente do carro do tom
do fish drink water,peixe bebe agua
she did come here,ela veio mesmo aqui
please continue with your story,por favor pode continuar a contar sua historia
write it in pencil,escrevao a lapis
cows are sacred to many people in india,as vacas sao sagradas para muitas pessoas na india
the squirrel ate the hazelnuts,o esquilo comeu as avelas
i saw tom talking to mary,eu vi tom falando com mary
is there more,ha mais
i dont mind telling you what happened,nao me importo de contar o que aconteceu
tom is the smartest person i know,tom e a pessoa mais inteligente que conheco
i know that tom,eu sei disso tom
i have two dogs one is white and the other black,eu tenho dois cachorros um e branco e o outro e preto
playing with fire is dangerous,brincar com fogo e perigoso
his hands were empty,ele estava de maos vazias
its always a pleasure to see you,e sempre um prazer te ver
is there something else we can do for tom,ha algo mais que nos podemos fazer pelo tom
i could not accept that my wife was really dead,nao pudia aceitar que minha esposa estava realmente morta
there are no chairs in this room,nao ha cadeiras nesta sala
please give me what i want,por favor me de o que quero
i am better than you,eu sou melhor do que voce
how long have you been in here,ha quanto tempo voce esta aqui
i wonder why tom hasnt called,por que sera que o tom nao ligou
we saved the best for last,deixamos o melhor para o fim
he must be very happy,ele deve ser muito feliz
what are you and tom up to,o que voce e tom estao dispostos a fazer
i think ive seen enough,eu acho que ja vi o bastante
i dont watch tv very much,eu nao assisto tv muito
were you promoted,voce foi promovido
ill explain what happened,vou explicar o que aconteceu
that was my lunch,esse foi o meu almoco
i want to see you again,quero revela
milk spoils quickly when its hot,o leite estraga rapidamente quando esta calor
please sing,por favor cante
accuracy is important in arithmetic,a precisao e importante na aritmetica
help tom,ajuda o tom
weather permitting lets go on a picnic,se o clima permitir vamos fazer um piquenique
tom has studied both french and english,o tom estudou frances e ingles
i assumed id go alone,assumi que iria sozinho
is it worth spending time trying to help people who dont want to be helped,vale a pena perder tempo tentando ajudar pessoas que nao querem ser ajudadas
tom doesnt have the right to say that,tom nao tem o direito de dizer isso
is the bank open today,o banco esta aberto hoje
quit complaining,para de reclamar
you wont believe me,voce nao vai acreditar em mim
i wish that i hadnt drunk so much,eu gostaria que nao tivesse bebido tanto
were tired of waiting,estamos cansados de esperar
i forget who said it,eu esqueco quem disse isso
you are free to go home,voce esta livre para ir para casa
i hope that someone will do that,eu espero que alguem faca isso
tom wasnt busy,tom nao estava ocupado
why didnt you inform me,por que voce nao me informou
tom broke a window yesterday,tom quebrou uma janela ontem
you all are useless,vos sois inuteis
tom needs to chill,tom precisa relaxar
i know that tom is a showoff,sei que tom e exibido
go that way,vai por ali
tom has no choice but to leave,tom nao tem escolha a nao ser sair
i love your bag,gosto da sua mochila
i know youre nervous,eu sei que voce esta nervoso
tom is looking a bit happier,tom esta parecendo um pouco mais feliz
thats what tom said to mary,foi o que tom disse a mary
if you are here it means you care,se voce esta aqui e porque se importa
tom allowed mary to play his guitar,tom deixou mary tocar o violao dele
what would you do in my place,o que voce faria em meu lugar
i never for a moment imagined that i would win,em nenhum momento eu imaginei que eu ganharia
toms speech was good,o discurso de tom foi bom
do you know which book sells well now,voce sabe que livro vende bem atualmente
i think ill give tom an egg timer,acho que vou dar um temporizador para o tom
is your watch correct,seu relogio esta certo
i dont believe in astrology but that doesnt mean that i dont read my horoscope,eu nao acredito em astrologia mas isso nao significa que eu nao leio o meu horoscopo
theyre beautiful,elas sao lindas
tom and mary dont have much,tom e mary nao tem muito
did you go to toms funeral,tu foste ao funeral de tom
tom is a fantastic singer,tom e um cantor fantastico
the cat is very cute,o gato e muito giro
youre a bad father,tu es um mau pai
i cant remember her name,nao consigo lembrar o seu nome
do you think tom will do what weve asked him to do,voce acha que tom fara o que pedimos a ele
mary had an outof body experience while meditating,mary teve uma experiencia extracorporal enquanto meditava
tom will most likely buy the red car,tom muito provavelmente comprara o carro vermelho
he forgot it again,ele esqueceu de novo
do you like your new computer,voce gosta do seu novo computador
let me be more specific,deixe eu ser mais especifico
ive been in a similar situation,eu ja estive em uma situacao parecida
you are so stupid,voce e tao estupida
thats how we want you to do it,e assim que nos queremos que voce faca
youre asking me questions you already know the answers to,voces estao me fazendo perguntas cujas respostas ja conhecem
im still just a child,eu sou ainda apenas uma crianca
tom wasnt very surprised that happened,tom nao estava muito surpreso com o que aconteceu
tom couldnt find his shoes,tom nao conseguiu achar seus sapatos
a car hit tom,um carro bateu em tom
please lock the door when you leave,por favor tranque a porta quando sair
please put some candles on the birthday cake,por favor coloque algumas velas no bolo de aniversario
im getting tired of losing,estou me cansando de perder
tom postponed the party,tom adiou a festa
we sell orange juice,nos vendemos suco de laranja
she cant be over thirty,ela nao pode ter mais de 30 anos
its not written in french,nao esta escrito em frances
maybe tom doesnt like me,talvez tom nao goste de mim
i tried solving the problem,tentei resolver o problema
my dog was more than just a pet to me,meu cachorro era apenas mais que um animal de estimacao para mim
i know toms wife,eu conheco a esposa de tom
i stayed up late,fiquei acordado ate tarde
i have no money in my pocket,eu nao tenho dinheiro no bolso
do you have a place to live,o senhor tem onde morar
im not as enthusiastic about doing that as tom is,nao estou tao entusiasmado em fazer isso quanto o tom
tom was born in australia,tom nasceu na australia
i kept still and said nothing,fiquei quieto e nao disse nada
youre unlucky arent you,voce e azarado nao e
many students live in the suburbs of the city,muitos estudantes moram nos suburbios da cidade
tom found a place to park,tom encontrou um lugar para estacionar
im here to have fun,eu estou aqui para me divertir
theres a lot of furniture in this room,ha muitos moveis neste quarto
i forget your phone number,esqueci seu numero de telefone
we have not received a letter from him so far,ate agora nos nao recebemos nenhuma carta dele
ok listen up,ok escutem
they both started laughing,ambos comecaram a rir
tom is very strange,tom e muito estranho
i met him yesterday,eu o encontrei ontem
you know it wasnt the first time that tom did that dont you,voce sabe que essa nao foi a primeira vez que o tom fez isso nao sabe
are they speaking french,eles estao falando frances
whats your favorite song,qual sua musica favorita
i wouldnt let tom near my cats,nao deixaria o tom perto dos meus gatos
why cant i go,porque eu nao posso ir
pray for me,reze por mim
im younger than he is,eu sou mais jovem do que ele
im not denying that,eu nao estou negando isso
tom always complains about the weather,o tom sempre reclama sobre o clima
the bigger a city grows the dirtier the air and water become,quanto maior uma cidade fica mais o ar e a agua ficam sujos
i hope everything is in order,eu espero que tudo esteja em ordem
can you keep a secret,voces podem guardar um segredo
food is essential for survival,a alimentacao e essencial para a sobrevivencia
my hair is longer than toms,meu cabelo e maior que o de tom
you cant be serious,voce nao pode estar falando serio
she put her knitting aside and stood up,ela pos o seu trico de lado e se levantou
i ended up telling tom what you told me not to tell him,eu terminei dizendo a tom o que voce me disse para nao dizer a ele
tom said that he wasnt at home,tom disse que nao estava em casa
tom is an excellent lawyer,tom e um excelente advogado
why dont you want to come with us,por que nao queres vir conosco
i missed the point of the joke,nao entendi a graca da piada
i saw them kissing,eu os vi se beijando
were starving here,estamos com muita fome aqui
we dont want any trouble,nao queremos nenhum problema
you idiot,idiota
how many months were you in australia,por quantos meses voce esteve na australia
he ended his life by jumping off a bridge,ele deu um fim na vida dele pulando de uma ponte
we definitely need toms help,definitivamente precisamos da ajuda de tom
give me back my book,devolva o meu livro
how much is this tour per person,quanto sai este roteiro por pessoa
tom said that he had everything under control,tom disse que ele tinha tudo sob controle
whats it about,de que se trata
i need to rest,preciso descansar
there were two cakes,havia dois bolos
were investigating the situation,nos estamos investigando a situacao
where are my glasses,onde estao meus oculos
it takes about 10 minutes to get to the train station by foot,leva mais ou menos 10 minutos para chegar na estacao de trem a pe
tom doesnt need to come if he doesnt want to,tom nao precisa vir se ele nao quiser
this isnt news to anyone,isto nao e novidade para ninguem
who cooks for you,quem cozinha para voce
